Date,Open,High,Low,Close,Adj Close,Volume
2021-04-26,165.210007,165.410004,163.759995,164.119995,163.102417,6027800
2021-04-27,163.759995,163.910004,162.470001,163.179993,162.168228,6217700
2021-04-28,162.860001,163.199997,161.649994,161.979996,160.975677,7448000
2021-04-29,161.899994,164.259995,161.809998,164.199997,163.181915,6394300
2021-04-30,164.149994,164.330002,162.520004,162.729996,161.721024,9079100
2021-05-03,163.600006,165.320007,163.119995,165.210007,164.185669,6594100
2021-05-04,164.830002,167.850006,164.669998,167.770004,166.729782,10179500
2021-05-05,167.500000,168.399994,166.789993,167.070007,166.034134,7792300
2021-05-06,166.789993,167.889999,166.240005,167.740005,166.699982,5529900
2021-05-07,168.300003,169.179993,167.830002,168.500000,167.455261,5316200
2021-05-10,169.899994,171.529999,169.229996,170.270004,169.214294,8357500
2021-05-11,170.649994,170.869995,168.279999,168.880005,167.832901,8217900
2021-05-12,168.539993,169.800003,167.949997,168.199997,167.157120,6758300
2021-05-13,166.970001,170.699997,166.970001,169.960007,168.906204,8018600
2021-05-14,171.479996,171.610001,170.169998,170.220001,169.164597,5797700
2021-05-17,170.399994,171.889999,170.309998,170.389999,169.333542,5722600
2021-05-18,169.979996,171.369995,169.529999,170.449997,169.393158,5846000
2021-05-19,169.910004,170.160004,168.039993,170.080002,169.025467,5533800
2021-05-20,169.940002,171.589996,169.690002,171.070007,170.009323,4853200
2021-05-21,171.330002,172.740005,170.869995,170.960007,169.900009,6501800
2021-05-24,170.899994,171.350006,169.770004,170.550003,170.550003,5195100
2021-05-25,170.669998,171.029999,169.740005,170.080002,170.080002,7444700
2021-05-26,170.000000,170.080002,168.279999,169.070007,169.070007,5726400
2021-05-27,169.259995,170.169998,168.380005,168.809998,168.809998,8114700
2021-05-28,169.520004,171.009995,169.169998,169.250000,169.250000,6400800
2021-06-01,170.149994,170.199997,165.380005,165.529999,165.529999,10448400
2021-06-02,165.300003,166.729996,165.110001,166.199997,166.199997,6806000
2021-06-03,165.889999,167.149994,165.710007,166.039993,166.039993,5808800
2021-06-04,167.009995,167.570007,165.869995,165.970001,165.970001,6510300
2021-06-07,166.000000,166.320007,164.630005,164.839996,164.839996,5362800
2021-06-08,165.279999,165.660004,162.070007,163.389999,163.389999,7746800
2021-06-09,163.990005,165.779999,163.660004,165.589996,165.589996,5552600
2021-06-10,166.000000,167.580002,165.949997,167.080002,167.080002,6463100
2021-06-11,167.070007,167.080002,164.220001,164.960007,164.960007,7389900
2021-06-14,164.500000,165.460007,163.899994,165.369995,165.369995,4931300
2021-06-15,165.229996,165.860001,164.389999,164.490005,164.490005,5062900
2021-06-16,164.800003,165.750000,163.479996,164.429993,164.429993,6988500
2021-06-17,164.190002,165.699997,163.500000,165.220001,165.220001,5874700
2021-06-18,163.270004,164.190002,161.789993,161.979996,161.979996,12991200
2021-06-21,162.770004,164.259995,162.250000,163.839996,163.839996,6592300
2021-06-22,163.710007,164.039993,163.279999,163.619995,163.619995,5627800
2021-06-23,163.690002,163.690002,162.479996,162.630005,162.630005,4493400
2021-06-24,163.270004,164.199997,162.800003,163.369995,163.369995,4549200
2021-06-25,162.940002,164.779999,162.889999,164.210007,164.210007,10962600
2021-06-28,164.440002,165.070007,163.520004,164.020004,164.020004,5602900
